name,emoji_unicode,average_color
🔥,U+1F525,237 152 22
👋,U+1F44B,247 185 22
🤟,U+1F91F,251 189 22
✊,U+270A,252 190 22
🤛,U+1F91B,253 190 22
🐥,U+1F425,248 214 22
🦋,U+1F98B,159 99 22
📪,U+1F4EA,95 159 220
🐬,U+1F42C,72 168 220
💙,U+1F499,28 130 221
🐑,U+1F411,232 227 221
🌐,U+1F310,196 227 250
📫,U+1F4EB,91 159 222
🔣,U+1F523,45 164 223
🪣,U+1FAA3,39 160 224
🔢,U+1F522,43 164 224
🆒,U+1F192,45 164 224
🆓,U+1F193,47 165 224
🔵,U+1F535,45 140 225
🆗,U+1F197,62 171 225
🆙,U+1F199,66 172 225
🔷,U+1F537,46 142 226
🛗,U+1F6D7,110 151 226
🐋,U+1F40B,96 181 226
💤,U+1F4A4,41 141 227
🧢,U+1F9E2,47 143 227
🐳,U+1F433,98 183 227
🧘,U+1F9D8,224 153 23
🤝,U+1F91D,252 190 23
🤍,U+1F90D,230 230 230
🌁,U+1F301,185 210 231
🧂,U+1F9C2,216 226 231
💿,U+1F4BF,231 231 231
👣,U+1F463,83 50 102
🔮,U+1F52E,105 66 125
🐟,U+1F41F,118 193 233
🔟,U+1F51F,128 201 233
💎,U+1F48E,68 181 235
💮,U+1F4AE,255 226 235
👖,U+1F456,81 168 238
💬,U+1F4AC,225 232 238
🥛,U+1F95B,235 237 238
⚪,U+26AA,238 238 238
🔈,U+1F508,101 177 239
🔃,U+1F503,103 192 239
🔄,U+1F504,103 192 239
🧊,U+1F9CA,137 198 239
💨,U+1F4A8,218 221 239
👊,U+1F44A,252 190 24
👂,U+1F442,251 191 24
👍,U+1F44D,252 191 24
👎,U+1F44E,252 191 24
🌊,U+1F30A,94 194 240
🪩,U+1FAA9,190 188 190
💦,U+1F4A6,93 175 241
💭,U+1F4AD,225 215 240
🗯,U+1F5EF,40 40 40
🕎,U+1F54E,169 137 242
🛄,U+1F6C4,152 180 242
🥼,U+1F97C,231 238 243
🛂,U+1F6C2,132 167 244
🔯,U+1F52F,166 131 245
🚻,U+1F6BB,144 175 245
💠,U+1F4A0,63 185 245
🦷,U+1F9B7,227 233 245
🛐,U+1F6D0,165 129 246
♿,U+267F,116 157 246
🚮,U+1F6AE,121 160 246
➰,U+27B0,86 197 246
🦢,U+1F9A2,230 241 247
🚹,U+1F6B9,112 154 248
🔐,U+1F510,238 164 25
🤲,U+1F932,252 192 25
🥕,U+1F955,218 116 26
🥦,U+1F966,94 125 26
